Date,Temperature (°C),Precipitation (mm),Pressure (hPa),Cloud Cover (%)
2023-02-01,-7.3,41.0,1006.7,62
2023-03-01,10.7,8.5,1019.1,59
2023-04-01,18.1,129.7,1015.4,74
2023-05-01,25.1,121.9,1008.6,58
2023-06-01,23.6,150.0,1008.5,34
2023-07-01,28.2,149.5,1013.3,23
2023-08-01,24.9,83.3,1023.3,44
2023-09-01,14.5,115.3,1013.7,32
2023-10-01,12.7,141.7,1007.5,52
2023-11-01,7.0,127.4,1013.8,35
2023-12-01,-7.9,37.1,1013.6,61
2024-01-01,7.4,67.6,1001.5,85
2024-02-01,6.9,19.4,1014.7,74
2024-03-01,8.1,143.1,1013.8,61
2024-04-01,16.2,90.9,1018.5,53
2024-05-01,21.5,34.3,1024.2,49
2024-06-01,25.8,100.8,1020.6,32
2024-07-01,23.3,92.7,1013.7,32
2024-08-01,23.0,53.7,1009.5,37
2024-09-01,14.9,17.0,1027.9,51
2024-10-01,13.5,100.7,1015.3,58
2024-11-01,6.6,78.0,1015.1,65
2024-12-01,-1.9,115.8,1014.9,48
